,id,country,affiliation,draft,title,submission_date,wg,docid
0,115824,FRANCE,Cisco,draft-ietf-detnet-problem-statement-09,Deterministic Networking Problem Statement,2019-05-01,detnet,RFC8557
1,105922,US,Huawei Technologies Co. Ltd,draft-ietf-detnet-problem-statement-09,Deterministic Networking Problem Statement,2019-05-01,detnet,RFC8557
2,124759,USA,"Dolby Laboratories, Inc.",draft-ietf-detnet-use-cases-20,Deterministic Networking Use Cases,2019-05-01,detnet,RFC8578
3,115824,FRANCE,Cisco,draft-ietf-detnet-architecture-13,Deterministic Networking Architecture,2019-10-01,detnet,RFC8655
4,105922,US,Huawei,draft-ietf-detnet-architecture-13,Deterministic Networking Architecture,2019-10-01,detnet,RFC8655
5,110053,Hungary,Ericsson,draft-ietf-detnet-architecture-13,Deterministic Networking Architecture,2019-10-01,detnet,RFC8655
6,118295,Hungary,Ericsson,draft-ietf-detnet-architecture-13,Deterministic Networking Architecture,2019-10-01,detnet,RFC8655
7,110053,Hungary,Ericsson,draft-ietf-detnet-data-plane-framework-06,Deterministic Networking (DetNet) Data Plane Framework,2020-11-01,detnet,RFC8938
8,118295,Hungary,Ericsson,draft-ietf-detnet-data-plane-framework-06,Deterministic Networking (DetNet) Data Plane Framework,2020-11-01,detnet,RFC8938
9,10064,,"LabN Consulting, L.L.C.",draft-ietf-detnet-data-plane-framework-06,Deterministic Networking (DetNet) Data Plane Framework,2020-11-01,detnet,RFC8938
10,3844,,Malis Consulting,draft-ietf-detnet-data-plane-framework-06,Deterministic Networking (DetNet) Data Plane Framework,2020-11-01,detnet,RFC8938
11,2329,,Huawei Device Co. Ltd,draft-ietf-detnet-data-plane-framework-06,Deterministic Networking (DetNet) Data Plane Framework,2020-11-01,detnet,RFC8938
12,110053,Hungary,Ericsson,draft-ietf-detnet-ip-07,Deterministic Networking (DetNet) Data Plane: IP,2020-11-01,detnet,RFC8939
13,118295,Hungary,Ericsson,draft-ietf-detnet-ip-07,Deterministic Networking (DetNet) Data Plane: IP,2020-11-01,detnet,RFC8939
14,10064,,"LabN Consulting, L.L.C.",draft-ietf-detnet-ip-07,Deterministic Networking (DetNet) Data Plane: IP,2020-11-01,detnet,RFC8939
15,120813,,"LabN Consulting, L.L.C.",draft-ietf-detnet-ip-07,Deterministic Networking (DetNet) Data Plane: IP,2020-11-01,detnet,RFC8939
16,2329,,Huawei Device Co. Ltd,draft-ietf-detnet-ip-07,Deterministic Networking (DetNet) Data Plane: IP,2020-11-01,detnet,RFC8939
17,110053,Hungary,Ericsson,draft-ietf-detnet-mpls-13,Deterministic Networking (DetNet) Data Plane: MPLS,2021-01-01,detnet,RFC8964
18,118295,Hungary,Ericsson,draft-ietf-detnet-mpls-13,Deterministic Networking (DetNet) Data Plane: MPLS,2021-01-01,detnet,RFC8964
19,10064,,"LabN Consulting, L.L.C.",draft-ietf-detnet-mpls-13,Deterministic Networking (DetNet) Data Plane: MPLS,2021-01-01,detnet,RFC8964
20,3844,,Malis Consulting,draft-ietf-detnet-mpls-13,Deterministic Networking (DetNet) Data Plane: MPLS,2021-01-01,detnet,RFC8964
21,2329,,Huawei Device Co. Ltd,draft-ietf-detnet-mpls-13,Deterministic Networking (DetNet) Data Plane: MPLS,2021-01-01,detnet,RFC8964
22,109800,,Jouni Korhonen,draft-ietf-detnet-mpls-13,Deterministic Networking (DetNet) Data Plane: MPLS,2021-01-01,detnet,RFC8964
23,118295,Hungary,Ericsson,draft-ietf-detnet-flow-information-model-14,Flow and Service Information Model for Deterministic Networking (DetNet),2021-03-01,detnet,RFC9016
24,110053,Hungary,Ericsson,draft-ietf-detnet-flow-information-model-14,Flow and Service Information Model for Deterministic Networking (DetNet),2021-03-01,detnet,RFC9016
25,119573,USA,National Instruments,draft-ietf-detnet-flow-information-model-14,Flow and Service Information Model for Deterministic Networking (DetNet),2021-03-01,detnet,RFC9016
26,109207,China,"Huawei Technologies Co., Ltd.",draft-ietf-detnet-flow-information-model-14,Flow and Service Information Model for Deterministic Networking (DetNet),2021-03-01,detnet,RFC9016
