,id,country,affiliation,draft,title,submission_date,wg,docid
0,108049,,Cisco,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
1,124345,,Meta,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
2,124346,,Google,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
3,124347,,University of Oxford,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
4,118067,,Inria & Mozilla,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
5,128864,,Phoenix R&D,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
6,124346,,Emad Omara,draft-ietf-mls-architecture-15,The Messaging Layer Security (MLS) Architecture,2025-04-01,mls,RFC9750
7,118067,,Inria & Mozilla,draft-ietf-mls-architecture-15,The Messaging Layer Security (MLS) Architecture,2025-04-01,mls,RFC9750
8,12695,,"Windy Hill Systems, LLC",draft-ietf-mls-architecture-15,The Messaging Layer Security (MLS) Architecture,2025-04-01,mls,RFC9750
9,124349,,Srinivas Inguva,draft-ietf-mls-architecture-15,The Messaging Layer Security (MLS) Architecture,2025-04-01,mls,RFC9750
10,105744,,Wire,draft-ietf-mls-architecture-15,The Messaging Layer Security (MLS) Architecture,2025-04-01,mls,RFC9750
11,108049,,Cisco,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
12,124345,,Meta,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
13,124346,,Google,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
14,124347,,University of Oxford,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
15,118067,,Inria & Mozilla,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
16,128864,,Phoenix R&D,draft-ietf-mls-protocol-20,The Messaging Layer Security (MLS) Protocol,2023-07-01,mls,RFC9420
17,124346,,Emad Omara,draft-ietf-mls-architecture-15,The Messaging Layer Security (MLS) Architecture,2025-04-01,mls,RFC9750
18,118067,,Inria & Mozilla,draft-ietf-mls-architecture-15,The Messaging Layer Security (MLS) Architecture,2025-04-01,mls,RFC9750
19,12695,,"Windy Hill Systems, LLC",draft-ietf-mls-architecture-15,The Messaging Layer Security (MLS) Architecture,2025-04-01,mls,RFC9750
20,124349,,Srinivas Inguva,draft-ietf-mls-architecture-15,The Messaging Layer Security (MLS) Architecture,2025-04-01,mls,RFC9750
21,105744,,Wire,draft-ietf-mls-architecture-15,The Messaging Layer Security (MLS) Architecture,2025-04-01,mls,RFC9750
