,id,country,affiliation,draft,title,submission_date,wg,docid
0,20051,,Christopher Allen,,The TLS Protocol Version 1.0,1999-01-01,tls,RFC2246
1,20050,,Certicom,,The TLS Protocol Version 1.0,1999-01-01,tls,RFC2246
2,20881,"Redwood City, CA 94063",Excite,draft-ietf-tls-kerb-cipher-suites-04,Addition of Kerberos Cipher Suites to Transport Layer Security (TLS),1999-10-01,tls,RFC2712
3,20739,Issaquah WA 98027-5378,CyberSafe Corporation,draft-ietf-tls-kerb-cipher-suites-04,Addition of Kerberos Cipher Suites to Transport Layer Security (TLS),1999-10-01,tls,RFC2712
4,19084,US,Rohit Khare,draft-ietf-tls-http-upgrade-05,Upgrading to TLS Within HTTP/1.1,2000-05-01,tls,RFC2817
5,109569,US,Agranat Systems,draft-ietf-tls-http-upgrade-05,Upgrading to TLS Within HTTP/1.1,2000-05-01,tls,RFC2817
6,12695,"East Palo Alto, CA 94303","RTFM, Inc.",draft-ietf-tls-https-04,HTTP Over TLS,2000-05-01,tls,RFC2818
7,104729,United Kingdom,Skygate Technology,draft-ietf-tls-ciphersuite-06,Advanced Encryption Standard (AES) Ciphersuites for Transport Layer Security (TLS),2002-06-01,tls,RFC3268
8,104696,,BCI,draft-ietf-tls-extensions-06,Transport Layer Security (TLS) Extensions,2003-06-01,tls,RFC3546
9,113292,,Transactionware,draft-ietf-tls-extensions-06,Transport Layer Security (TLS) Extensions,2003-06-01,tls,RFC3546
10,102968,,RSA Security,draft-ietf-tls-extensions-06,Transport Layer Security (TLS) Extensions,2003-06-01,tls,RFC3546
11,113293,,Independent Consultant,draft-ietf-tls-extensions-06,Transport Layer Security (TLS) Extensions,2003-06-01,tls,RFC3546
12,113294,,Vodafone,draft-ietf-tls-extensions-06,Transport Layer Security (TLS) Extensions,2003-06-01,tls,RFC3546
13,110104,US,Verisign,draft-ietf-tls-compression-07,Transport Layer Security Protocol Compression Methods,2004-05-01,tls,RFC3749
14,4999,,NTT Software Corporation,draft-ietf-tls-camellia-06,Addition of Camellia Cipher Suites to Transport Layer Security (TLS),2005-07-01,tls,RFC4132
15,112691,,Sony Computer Entertainment Inc.,draft-ietf-tls-camellia-06,Addition of Camellia Cipher Suites to Transport Layer Security (TLS),2005-07-01,tls,RFC4132
16,108433,,Nippon Telegraph and Telephone Corporation (NTT),draft-ietf-tls-camellia-06,Addition of Camellia Cipher Suites to Transport Layer Security (TLS),2005-07-01,tls,RFC4132
17,105857,Germany,Siemens,draft-ietf-tls-psk-09,Pre-Shared Key Ciphersuites for Transport Layer Security (TLS),2005-12-01,tls,RFC4279
18,106164,Finland,Nokia Corporation,draft-ietf-tls-psk-09,Pre-Shared Key Ciphersuites for Transport Layer Security (TLS),2005-12-01,tls,RFC4279
19,12695,,"RTFM, Inc.",draft-ietf-tls-rfc2246-bis-13,The Transport Layer Security (TLS) Protocol Version 1.1,2006-04-01,tls,RFC4346
20,20050,,Independent,draft-ietf-tls-rfc2246-bis-13,The Transport Layer Security (TLS) Protocol Version 1.1,2006-04-01,tls,RFC4346
21,113294,,Vodafone,draft-ietf-tls-rfc3546bis-02,Transport Layer Security (TLS) Extensions,2006-04-01,tls,RFC4366
22,104696,,BCI,draft-ietf-tls-rfc3546bis-02,Transport Layer Security (TLS) Extensions,2006-04-01,tls,RFC4366
23,113292,,Transactionware,draft-ietf-tls-rfc3546bis-02,Transport Layer Security (TLS) Extensions,2006-04-01,tls,RFC4366
24,102968,,RSA Security,draft-ietf-tls-rfc3546bis-02,Transport Layer Security (TLS) Extensions,2006-04-01,tls,RFC4366
25,113293,,Independent Consultant,draft-ietf-tls-rfc3546bis-02,Transport Layer Security (TLS) Extensions,2006-04-01,tls,RFC4366
26,111398,DE,Ruhr-Uni Bochum,draft-ietf-tls-ecc-12,Elliptic Curve Cryptography (ECC) Cipher Suites for Transport Layer Security (TLS),2006-05-01,tls,RFC4492
27,113205,US,Sun Microsystems,draft-ietf-tls-ecc-12,Elliptic Curve Cryptography (ECC) Cipher Suites for Transport Layer Security (TLS),2006-05-01,tls,RFC4492
28,20529,US,Sun Labs,draft-ietf-tls-ecc-12,Elliptic Curve Cryptography (ECC) Cipher Suites for Transport Layer Security (TLS),2006-05-01,tls,RFC4492
29,104696,NL,SafeNet,draft-ietf-tls-ecc-12,Elliptic Curve Cryptography (ECC) Cipher Suites for Transport Layer Security (TLS),2006-05-01,tls,RFC4492
30,113206,US,Corriente,draft-ietf-tls-ecc-12,Elliptic Curve Cryptography (ECC) Cipher Suites for Transport Layer Security (TLS),2006-05-01,tls,RFC4492
31,126593,USA,Intel Corporation,draft-ietf-tls-psk-null-03,Pre-Shared Key (PSK) Ciphersuites with NULL Encryption for Transport Layer Security (TLS),2007-01-01,tls,RFC4785
32,107681,USA,Intel Corporation,draft-ietf-tls-psk-null-03,Pre-Shared Key (PSK) Ciphersuites with NULL Encryption for Transport Layer Security (TLS),2007-01-01,tls,RFC4785
33,113280,,Independent,draft-ietf-tls-srp-14,Using the Secure Remote Password (SRP) Protocol for TLS Authentication,2007-11-01,tls,RFC5054
34,113281,,Independent,draft-ietf-tls-srp-14,Using the Secure Remote Password (SRP) Protocol for TLS Authentication,2007-11-01,tls,RFC5054
35,23231,,Thomas Wu,draft-ietf-tls-srp-14,Using the Secure Remote Password (SRP) Protocol for TLS Authentication,2007-11-01,tls,RFC5054
36,111612,,Independent,draft-ietf-tls-srp-14,Using the Secure Remote Password (SRP) Protocol for TLS Authentication,2007-11-01,tls,RFC5054
37,111612,Greece,Independent,draft-ietf-tls-openpgp-keys-11,Using OpenPGP Keys for Transport Layer Security (TLS) Authentication,2007-11-01,tls,RFC5081
38,20050,,Independent,draft-ietf-tls-rfc4346-bis-10,The Transport Layer Security (TLS) Protocol Version 1.2,2008-08-01,tls,RFC5246
