,id,country,affiliation,draft,title,submission_date,wg,docid
0,147130,Argentina,SI6 Networks,draft-irtf-pearg-numeric-ids-history-11,Unfortunate History of Transient Numeric Identifiers,2023-07-01,,RFC9414
1,121333,Argentina,Quarkslab,draft-irtf-pearg-numeric-ids-history-11,Unfortunate History of Transient Numeric Identifiers,2023-07-01,,RFC9414
2,147130,Argentina,SI6 Networks,draft-irtf-pearg-numeric-ids-generation-12,On the Generation of Transient Numeric Identifiers,2023-07-01,,RFC9415
3,121333,Argentina,Quarkslab,draft-irtf-pearg-numeric-ids-generation-12,On the Generation of Transient Numeric Identifiers,2023-07-01,,RFC9415
4,118393,,Internet Society,draft-irtf-pearg-censorship-10,A Survey of Worldwide Censorship Techniques,2023-11-01,,RFC9505
5,118398,,CU Boulder,draft-irtf-pearg-censorship-10,A Survey of Worldwide Censorship Techniques,2023-11-01,,RFC9505
6,119373,,Ben Jones,draft-irtf-pearg-censorship-10,A Survey of Worldwide Censorship Techniques,2023-11-01,,RFC9505
7,114812,,U Chicago,draft-irtf-pearg-censorship-10,A Survey of Worldwide Censorship Techniques,2023-11-01,,RFC9505
8,123969,,Amelia Andersdotter,draft-irtf-pearg-censorship-10,A Survey of Worldwide Censorship Techniques,2023-11-01,,RFC9505
9,124328,,Center for Democracy & Technology,draft-irtf-pearg-censorship-10,A Survey of Worldwide Censorship Techniques,2023-11-01,,RFC9505
