Date,Salesforce,Sinodun,Stephane Bortzmeyer,ICANN,Cisco,Paul Wouters,internet-drafts@ietf.org,Warren Kumari,Phillip Hallam-Baker,Paul Hoffman,Google,Eric Rescorla,Stephen Farrell,American Civil Liberties Union,Rob Sayre,IETF Secretariat,Tony Finch,Private Octopus,Peter van Dijk,Brian Dickson,nic.at,"Hollenbeck, Scott",John Levine,Shane Kerr,Vladimír Čunát,Microsoft,Bob Harold,Huawei,Ilari Liusvaara,Jim Reid,Martin Thomson,USC/ISI,Ted Hardie,IETF Meeting Session Request Tool,Hosnieh Rafiee,IETF,CNNIC,Shumon Huque,"Wessels, Duane",Bill Woodcock,Vittorio Bertola,IESG,Mark Andrews,Cox Communications,Wes Hardaker,"Mankin, Allison",Petr Špaček,Manu Bretelle,Ralf Weber,Mukund Sivaraman
2014-12-31 00:00:00+00:00,13.0,0.0,55.0,0.0,8.0,23.0,1.0,19.0,77.0,38.0,0.0,0.0,9.0,3.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,25.0,2.0,1.0,0.0,12.0,4.0,0.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,9.0,10.0,0.0,0.0,2.0,4.0
2015-12-31 00:00:00+00:00,27.0,10.0,54.0,4.0,42.0,13.0,17.0,62.0,55.0,32.0,0.0,0.0,20.0,18.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,5.0,9.0,0.0,21.0,9.0,9.0,13.0,1.0,0.0,8.0,9.0,0.0,13.0,0.0,18.0,4.0,15.0,0.0,0.0,2.0,9.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0
2016-12-31 00:00:00+00:00,22.0,36.0,51.0,2.0,45.0,8.0,31.0,28.0,0.0,27.0,0.0,0.0,17.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,21.0,0.0,5.0,11.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-12-31 00:00:00+00:00,8.0,26.0,10.0,4.0,1.0,4.0,6.0,8.0,0.0,12.0,1.0,4.0,5.0,27.0,0.0,1.0,3.0,5.0,1.0,0.0,12.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
2018-12-31 00:00:00+00:00,64.0,16.0,16.0,25.0,1.0,14.0,8.0,13.0,0.0,14.0,13.0,4.0,7.0,14.0,0.0,13.0,27.0,9.0,0.0,2.0,20.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,6.0,0.0,5.0,3.0,3.0,1.0,0.0,5.0,0.0,1.0,0.0,5.0,13.0
2019-12-31 00:00:00+00:00,27.0,25.0,12.0,9.0,1.0,13.0,13.0,8.0,4.0,0.0,14.0,23.0,14.0,0.0,17.0,9.0,4.0,6.0,0.0,26.0,3.0,4.0,21.0,2.0,13.0,2.0,5.0,0.0,0.0,7.0,8.0,0.0,10.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
2020-12-31 00:00:00+00:00,31.0,67.0,16.0,35.0,25.0,29.0,26.0,8.0,0.0,0.0,24.0,45.0,7.0,0.0,37.0,19.0,25.0,17.0,45.0,27.0,1.0,4.0,8.0,0.0,8.0,0.0,4.0,0.0,5.0,3.0,7.0,0.0,4.0,4.0,0.0,17.0,4.0,8.0,2.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,0.0
2021-12-31 00:00:00+00:00,58.0,34.0,10.0,66.0,16.0,39.0,24.0,0.0,0.0,0.0,60.0,40.0,24.0,11.0,19.0,9.0,0.0,14.0,17.0,11.0,5.0,23.0,2.0,2.0,14.0,0.0,0.0,0.0,4.0,16.0,12.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,20.0,2.0,3.0,1.0,7.0,4.0,0.0,7.0,2.0,2.0,0.0
2022-12-31 00:00:00+00:00,9.0,26.0,0.0,5.0,12.0,1.0,13.0,0.0,1.0,0.0,6.0,0.0,0.0,11.0,2.0,21.0,0.0,16.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,1.0,0.0,0.0,10.0,0.0,0.0
2023-12-31 00:00:00+00:00,14.0,0.0,0.0,46.0,8.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,2.0,3.0,2.0,0.0
