Date,Ericsson,Cisco,Google,Mozilla,ICANN,Iñaki Baz Castillo,TurboBridge,Microsoft,Martin Thomson,internet-drafts@ietf.org,Matthew Kaufman,Münster University of Applied Sciences,"RTFM, Inc.",Westhawk,Acme Packet,Jitsi,Stefan Håkansson LK,University of Glasgow,Parthasarathi Ravindran,Alvondo AB,Apple,Vidyo,Sonus Networks,Nokia,Simon Perreault,Ingate Systems,Silvia Pfeiffer,Huawei,Sergio Garcia Murillo,Stevens Institute of Technology,Skype,Meetecho s.r.l.,Symphony Commerce,Swiftly,Gesher Erove Ltd,Mary Barnes,Jonathan Lennox,Maik Merten,rtcweb issue tracker,CoSMo Software Consulting Pte Ltd,Orange,Richard,Tolga Asveren,Jim Barnett,John Leslie,Andrew Allen,Leon Geyser,Gunnar Hellström,Bjoern Hoehrmann,Gaelle Martin-Cocher
2011-12-31 00:00:00+00:00,213.0,244.0,121.0,193.0,271.0,256.0,109.0,87.0,0.0,14.0,130.0,2.0,71.0,73.0,153.0,31.0,51.0,46.0,18.0,75.0,5.0,26.0,115.0,23.0,0.0,0.0,4.0,9.0,0.0,42.0,0.0,5.0,0.0,0.0,17.0,15.0,13.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2012-12-31 00:00:00+00:00,300.0,254.0,173.0,201.0,235.0,113.0,159.0,107.0,129.0,28.0,43.0,10.0,104.0,24.0,26.0,11.0,3.0,19.0,88.0,21.0,5.0,29.0,0.0,33.0,0.0,0.0,10.0,26.0,2.0,43.0,0.0,22.0,0.0,0.0,15.0,12.0,3.0,0.0,4.0,0.0,5.0,34.0,0.0,38.0,8.0,1.0,0.0,45.0,0.0,0.0
2013-12-31 00:00:00+00:00,270.0,499.0,358.0,343.0,251.0,127.0,74.0,158.0,162.0,29.0,40.0,59.0,37.0,47.0,13.0,99.0,93.0,27.0,24.0,19.0,60.0,46.0,0.0,30.0,22.0,45.0,54.0,32.0,16.0,1.0,68.0,34.0,0.0,0.0,26.0,24.0,8.0,58.0,48.0,0.0,21.0,25.0,0.0,13.0,20.0,27.0,47.0,0.0,31.0,18.0
2014-12-31 00:00:00+00:00,368.0,264.0,263.0,335.0,200.0,114.0,76.0,85.0,0.0,67.0,9.0,128.0,0.0,29.0,0.0,22.0,25.0,40.0,30.0,5.0,50.0,11.0,0.0,3.0,25.0,41.0,21.0,9.0,48.0,0.0,15.0,11.0,7.0,0.0,10.0,16.0,9.0,4.0,0.0,0.0,12.0,0.0,0.0,3.0,17.0,23.0,2.0,0.0,11.0,28.0
2015-12-31 00:00:00+00:00,190.0,121.0,134.0,155.0,72.0,39.0,87.0,58.0,0.0,42.0,9.0,16.0,0.0,10.0,0.0,18.0,0.0,17.0,1.0,0.0,0.0,2.0,0.0,0.0,44.0,5.0,0.0,0.0,14.0,0.0,0.0,3.0,28.0,0.0,2.0,0.0,13.0,0.0,10.0,0.0,4.0,0.0,24.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0
2016-12-31 00:00:00+00:00,61.0,64.0,80.0,65.0,75.0,21.0,39.0,31.0,0.0,32.0,1.0,0.0,0.0,9.0,0.0,1.0,4.0,11.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,26.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2017-12-31 00:00:00+00:00,119.0,55.0,97.0,33.0,26.0,39.0,1.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31 00:00:00+00:00,90.0,56.0,129.0,41.0,37.0,40.0,22.0,25.0,0.0,20.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,45.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31 00:00:00+00:00,6.0,0.0,25.0,4.0,11.0,3.0,13.0,5.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31 00:00:00+00:00,31.0,20.0,3.0,0.0,9.0,3.0,20.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
