,name,affiliation,time_start,time_end
0,Magnus Westerlund,IETF,2011-12-09 20:00:00+00:00,2011-12-09 20:00:00+00:00
1,Magnus Westerlund,Ericsson,2011-12-09 20:00:00+00:00,2011-12-09 20:00:00+00:00
2,Sean Turner,Swiftly,2018-01-01 00:00:00+00:00,2024-10-14 15:56:05.579501+00:00
3,Sean Turner,Forbes Technology Council,2022-03-01 00:00:00+00:00,2024-10-14 15:56:05.579506+00:00
4,Sean Turner,Symphony Commerce,2014-11-01 00:00:00+00:00,2018-01-01 00:00:00+00:00
5,Sean Turner,Microsoft,2014-04-16 14:04:43+00:00,2014-10-01 00:00:00+00:00
6,Ted Hardie,Cisco,2020-10-01 00:00:00+00:00,2024-10-14 15:56:05.579602+00:00
7,Ted Hardie,Internet Society,2020-08-01 00:00:00+00:00,2024-10-14 15:56:05.579603+00:00
8,Ted Hardie,Root Server System Governance Working Group,2020-03-01 00:00:00+00:00,2022-03-01 00:00:00+00:00
9,Ted Hardie,Google,2011-12-09 20:00:00+00:00,2020-10-01 00:00:00+00:00
10,Ted Hardie,IETF,2017-04-01 00:00:00+00:00,2020-03-01 00:00:00+00:00
