,name,affiliation,time_start,time_end
0,Lars Eggert,Nokia,2019-07-08 15:51:51+00:00,2011-11-01 00:00:00+00:00
1,Lars Eggert,NetApp,2019-07-08 15:51:51+00:00,2019-10-09 15:07:23+00:00
2,Lars Eggert,Mozilla,2023-11-01 00:00:00+00:00,2019-10-09 15:07:23+00:00
3,Benjamin M. Schwartz,Google,2020-01-28 19:15:58+00:00,2020-01-28 19:15:58+00:00
4,David C Lawrence,Internet Systems Consortium,2019-06-11 19:42:47+00:00,1999-01-01 00:00:00+00:00
5,David C Lawrence,Nominum,2019-06-11 19:42:47+00:00,2003-08-01 00:00:00+00:00
6,David C Lawrence,Akami Technologies,2019-06-11 19:42:47+00:00,2018-02-01 00:00:00+00:00
7,David C Lawrence,Oracle,2019-06-11 19:42:47+00:00,2020-04-01 00:00:00+00:00
8,David C Lawrence,Salesforce,2020-05-01 00:00:00+00:00,2024-05-28 21:59:09.674311+00:00
9,Glenn Deen,NBC Universal,2020-02-06 17:23:42+00:00,2016-04-01 00:00:00+00:00
10,Glenn Deen,Comcast NBC Universal,2020-02-06 17:23:42+00:00,2024-05-28 21:59:09.674332+00:00
