,name,affiliation,time_start,time_end
0,Brian Trammell,ETH Zurich,2016-06-15 20:30:37+00:00,2016-08-22 14:50:28+00:00
1,Brian Trammell,Google,2019-01-01 00:00:00+00:00,2016-08-22 14:50:28+00:00
2,Mark Nottingham,Merrill Lynch,2016-10-04 03:57:12+00:00,1999-09-01 00:00:00+00:00
3,Mark Nottingham,Akami,2016-10-04 03:57:12+00:00,2002-03-01 00:00:00+00:00
4,Mark Nottingham,BEA Systems,2016-10-04 03:57:12+00:00,2006-01-01 00:00:00+00:00
5,Mark Nottingham,Yahoo,2016-10-04 03:57:12+00:00,2011-08-01 00:00:00+00:00
6,Mark Nottingham,Rackspace,2016-10-04 03:57:12+00:00,2012-08-01 00:00:00+00:00
7,Mark Nottingham,Akami,2016-10-04 03:57:12+00:00,2017-04-01 00:00:00+00:00
8,Mark Nottingham,Mozilla,2017-05-01 00:00:00+00:00,2017-08-01 00:00:00+00:00
9,Mark Nottingham,Fastly,2017-08-01 00:00:00+00:00,2020-03-09 11:37:27+00:00
10,Mark Nottingham,Cloudflare,2022-06-01 00:00:00+00:00,2020-03-09 11:37:27+00:00
11,Lucas Pardue,General Dynamics,2020-01-15 13:08:17+00:00,2013-05-01 00:00:00+00:00
12,Lucas Pardue,Panduit,2020-01-15 13:08:17+00:00,2014-07-01 00:00:00+00:00
13,Lucas Pardue,BBC,2020-01-15 13:08:17+00:00,2018-10-01 00:00:00+00:00
14,Lucas Pardue,Cloudflare,2020-01-15 13:08:17+00:00,2024-05-28 21:59:12.837897+00:00
15,Lucas Pardue,BBC,2020-01-15 13:08:17+00:00,2018-10-01 00:00:00+00:00
16,Matt Joras,Dell,2021-01-20 15:48:21+00:00,2018-03-01 00:00:00+00:00
17,Matt Joras,Meta,2021-01-20 15:48:21+00:00,2024-05-28 21:59:12.838004+00:00
