Date,ARTICLE 19,Center for Democracy and Technology,Afnic,Cisco,Stephen Farrell,internet-drafts@ietf.org,Dirk Kutscher,Tony Rutkowski,Spencer Dawkins at IETF,University of Amsterdam
2014-12-31 00:00:00+00:00,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31 00:00:00+00:00,126.0,16.0,29.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 00:00:00+00:00,148.0,46.0,31.0,21.0,43.0,11.0,12.0,0.0,0.0,0.0
2017-12-31 00:00:00+00:00,109.0,5.0,48.0,16.0,28.0,7.0,16.0,0.0,3.0,0.0
2018-12-31 00:00:00+00:00,188.0,1.0,45.0,43.0,38.0,8.0,28.0,99.0,9.0,0.0
2019-12-31 00:00:00+00:00,8.0,7.0,6.0,22.0,10.0,16.0,2.0,0.0,7.0,0.0
2020-12-31 00:00:00+00:00,0.0,32.0,10.0,17.0,11.0,39.0,10.0,0.0,25.0,0.0
2021-12-31 00:00:00+00:00,0.0,37.0,16.0,15.0,3.0,24.0,18.0,0.0,51.0,29.0
2022-12-31 00:00:00+00:00,0.0,28.0,0.0,8.0,12.0,28.0,13.0,0.0,8.0,22.0
2023-12-31 00:00:00+00:00,0.0,31.0,0.0,19.0,5.0,12.0,21.0,17.0,0.0,43.0
2024-12-31 00:00:00+00:00,0.0,6.0,0.0,1.0,0.0,2.0,9.0,8.0,0.0,3.0
