Date,Google,Brave Software,Sinodun,Center for Democracy and Technology,Avri Doria,APC,"University of California, Los Angeles",Cloudflare,Salesforce,ARTICLE 19
2015-12-31 00:00:00+00:00,0.0,0,0.0,0,1,1,0.0,0.0,0.0,0
2016-12-31 00:00:00+00:00,0.0,0,0.0,0,1,1,0.0,0.0,0.0,0
2017-12-31 00:00:00+00:00,1.0,0,0.0,0,1,1,0.0,0.0,0.0,0
2018-12-31 00:00:00+00:00,1.0,0,1.0,0,1,1,0.0,0.0,1.0,1
2019-12-31 00:00:00+00:00,2.0,0,1.0,0,0,0,0.0,0.0,1.0,1
2020-12-31 00:00:00+00:00,2.0,0,1.0,1,0,0,0.0,1.0,1.0,0
2021-12-31 00:00:00+00:00,2.0,1,1.0,1,0,0,1.0,1.0,0.0,0
2022-12-31 00:00:00+00:00,2.0,2,1.0,1,0,0,1.0,1.0,0.0,0
2023-12-31 00:00:00+00:00,2.0,2,1.0,1,0,0,1.0,0.0,0.0,0
2024-12-31 00:00:00+00:00,2.0,2,1.0,1,0,0,1.0,0.0,0.0,0
