Date,W3C Invited Expert,Internet Society,Google,Center for Democracy,Brave,Avast,Evernym
2010-12-31 00:00:00+00:00,0,0,0,0,0,0.0,0.0
2011-12-31 00:00:00+00:00,0,0,0,0,0,0.0,0.0
2012-12-31 00:00:00+00:00,0,1,1,0,0,0.0,0.0
2013-12-31 00:00:00+00:00,0,1,1,0,0,0.0,0.0
2014-12-31 00:00:00+00:00,0,1,1,0,0,0.0,0.0
2015-12-31 00:00:00+00:00,0,1,1,0,0,0.0,0.0
2016-12-31 00:00:00+00:00,0,1,1,0,0,0.0,0.0
2017-12-31 00:00:00+00:00,0,1,1,0,0,0.0,0.0
2018-12-31 00:00:00+00:00,0,1,1,0,0,0.0,0.0
2019-12-31 00:00:00+00:00,2,0,0,1,1,0.0,1.0
2020-12-31 00:00:00+00:00,2,0,0,1,1,1.0,0.0
2021-12-31 00:00:00+00:00,2,0,0,1,1,1.0,0.0
2022-12-31 00:00:00+00:00,2,0,0,1,1,1.0,0.0
2023-12-31 00:00:00+00:00,1,0,0,1,1,0.0,0.0
