to-replace,replace-with
Adobe Systems,Adobe
Akamai,Akamai Technologies
Brave,Brave Software
Apple Inc.,Apple
CDT,Center for Democracy and Technology
Center for Democracy & Technology,Center for Democracy and Technology
Center for Democracy,Center for Democracy and Technology
Digicert Inc.,Digicert
SiemensAG,Siemens
Siemens AG,Siemens
Vigil Security LLC,Vigil Security
"Vigil Security, LLC",Vigil Security
Ciena Coroporation,Ciena
Ciena Corporation,Ciena
Akami,Akamai Technologies
Akami Technologies,Akamai Technologies
Mark Nottingham via Datatracker,Mark Nottingham
Nokia CA/Ottowa,Nokia
Nokia - CA/Ottawa,Nokia
Nokia - CA/Ottowa,Nokia
Nokia - CA\/Ottawa,Nokia
Nokia - FR/Paris-Saclay,Nokia
Nokia - DE/Stuttgart,Nokia
Internet-Drafts@ietf.org,internet-drafts@ietf.org
The New Yor Times,The New York Times
Sinodun IT,Sinodun
Sinodun Internet Technologies,Sinodun
"deSEC, Technische Universität Berlin",deSEC
"deSEC, Secure Systems Engineering",deSEC
"deSEC, SSE - Secure Systems Engineering",deSEC
Verisign Labs,Verisign
John R Levine,John Levine
"Dyn, Inc.",Dyn
Google LLC,Google
"Google, LLC.",Google
Google Inc,Google
"Google, Inc",Google
"Google, Inc.",Google
Google Inc.,Google
Google Switzerland GmbH,Google
Google Switzerland,Google
Huawei Technologies,Huawei
Huawei Technology,Huawei
Huawei Device Co. Ltd,Huawei
Huawei Device Co. Ltd.,Huawei
"Huawei Technologies Co., Ltd.",Huawei
Huawei Technologies Co. Ltd.,Huawei
Huawei Technologies Co. Ltd,Huawei
Huawei Network.IO Innovation Lab,Huawei
"Internet Systems Consortium, Inc.",Internet Systems Consortium
Cisco Systems,Cisco
Brocade Communications,Brocade
RtBrick India,RtBrick Inc
Telefonica I+D,Telefonica
Telefonica Investigacion y Desarrollo,Telefonica
University of Electro-Communications,University of Electro Communications
Cloudflare Ltd.,Cloudflare
"Cloudflare, Inc.",Cloudflare
ETH Zürich,ETH Zurich
NTT Communications Corporation,Nippon Telegraph and Telephone Corporation (NTT)
NTT Corporation,Nippon Telegraph and Telephone Corporation (NTT)
NTT,Nippon Telegraph and Telephone Corporation (NTT)
KDDI Corporation,KDDI
KDDI R&D Labs,KDDI
"KDDI R&D Laboratories, Inc.",KDDI
Juniper,Juniper Networks
Meta,Meta
"Meta Platforms, Inc.",Meta
Meta Platforms,Meta
"""IETF Secretariat """" agenda@ietf.org",IETF Secretariat
"""IETF Secretariat"" agenda@ietf.org",IETF Secretariat
"""IETF Secretariat """" <agenda@ietf.org>",IETF Secretariat
The IESG,IESG
internetdrafts@ietf.org,IETF
ZTE Corporation,ZTE
Futurewei Technologies,Futurewei
Futurewei Technologies (Huawei),Futurewei
Comcast NBC Universal,NBCUniversal
brent.zundel@evernym.com,"Zundel, Brent"
"""=Drummond Reed""",Drummond Reed
"""=?utf-8?B?4ZCv4Zep4ZGOIFThkYzhl6nhkY7hkY4g76O/?=""
 <vantuan632000@icloud.com>",<vantuan632000@icloud.com>
Orange,Orange
BROADCOM CORPORATION,Broadcom Corporation
Sam Weiler,Samuel Weiler
"Eggert, Lars",Lars Eggert
World Wide Web Consortium,W3C
World Wide Web Consortium (W3C),W3C
"Blumenthal, Uri - 0553 - MITLL",Uri Blumenthal
"Nominum, Inc.",Nominum
Oracle+Dyn,Oracle
Oracle + Dyn,Oracle
"Parsons, Inc.",Parsons
"VeriSign, Inc.",Verisign
,
dimitri papadimitriou,Dimitri Papadimitriou
Mahend Negi,Mahendra Singh Negi
